date,perfectBalance,balance
"Thu May 10 11:00:00 CDT 2012",111.01565,92.60461
"Fri May 11 11:00:00 CDT 2012",111.01565,92.60461
"Sat May 12 14:00:00 CDT 2012",111.01565,92.60461
"Sun May 13 14:00:00 CDT 2012",111.01565,92.60461
"Mon May 14 14:00:00 CDT 2012",111.01565,92.60461
"Tue May 15 14:00:00 CDT 2012",111.01565,92.60461
"Wed May 16 14:00:00 CDT 2012",111.01565,92.60461
"Thu May 17 14:00:00 CDT 2012",111.01565,92.60461
"Fri May 18 14:00:00 CDT 2012",111.01565,92.60461
"Sat May 19 19:00:00 CDT 2012",112.16999,91.19881
"Sun May 20 19:00:00 CDT 2012",112.16999,91.19881
"Mon May 21 19:00:00 CDT 2012",112.16999,91.19881
"Tue May 22 19:00:00 CDT 2012",112.16999,91.19881
"Wed May 23 19:00:00 CDT 2012",112.16999,91.19881
"Thu May 24 19:00:00 CDT 2012",112.16999,91.19881
"Sat May 26 20:00:00 CDT 2012",112.16999,91.19881
"Sun May 27 20:00:00 CDT 2012",112.16999,91.19881
"Mon May 28 20:00:00 CDT 2012",112.16999,91.19881
"Tue May 29 20:00:00 CDT 2012",112.16999,91.19881
"Wed May 30 20:00:00 CDT 2012",112.16999,91.19881
"Thu May 31 20:00:00 CDT 2012",112.16999,91.19881
"Sat Jun 2 17:00:00 CDT 2012",112.16999,91.19881
"Sun Jun 3 17:00:00 CDT 2012",112.16999,91.19881
"Mon Jun 4 17:00:00 CDT 2012",112.16999,91.19881
"Tue Jun 5 17:00:00 CDT 2012",112.16999,91.19881
"Wed Jun 6 17:00:00 CDT 2012",112.16678,89.82172
"Thu Jun 7 17:00:00 CDT 2012",112.16678,89.82172
"Fri Jun 8 17:00:00 CDT 2012",112.16678,89.82172
"Sat Jun 9 20:00:00 CDT 2012",112.16678,89.82172
"Sun Jun 10 20:00:00 CDT 2012",112.16678,89.82172
"Mon Jun 11 20:00:00 CDT 2012",112.16678,89.82172
"Tue Jun 12 20:00:00 CDT 2012",112.16678,89.82172
"Wed Jun 13 20:00:00 CDT 2012",112.16678,89.82172
"Thu Jun 14 20:00:00 CDT 2012",112.16678,89.82172
"Sun Jun 17 5:00:00 CDT 2012",112.16678,89.82172
"Mon Jun 18 5:00:00 CDT 2012",112.16678,89.82172
"Tue Jun 19 5:00:00 CDT 2012",112.16678,89.82172
"Wed Jun 20 5:00:00 CDT 2012",112.16678,89.82172
"Thu Jun 21 5:00:00 CDT 2012",112.16678,89.82172
"Fri Jun 22 5:00:00 CDT 2012",112.16678,89.82172
"Sun Jun 24 13:00:00 CDT 2012",112.16678,89.82172
"Mon Jun 25 13:00:00 CDT 2012",112.16678,89.82172
"Tue Jun 26 13:00:00 CDT 2012",116.81722,94.38987
"Wed Jun 27 13:00:00 CDT 2012",116.81722,94.38987
"Thu Jun 28 13:00:00 CDT 2012",116.81722,94.38987
"Fri Jun 29 13:00:00 CDT 2012",116.81722,94.38987
"Sun Jul 1 13:00:00 CDT 2012",116.81722,94.38987
"Mon Jul 2 13:00:00 CDT 2012",116.81722,94.38987
